linha_clinica_global,principio_ativo,marcas_global,qtd_skus_global,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_unidade_venda,preco_unimed_vl_medio_r_un,unimed_prev_mes_qtd,unimed_prev_mes_rs,unimed_abc,unimed_politica,gap_pct_ultimo_global_vs_unimed,gap_pct_media_global_vs_unimed,gap_pct_mediana_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,economia_pot_mensal_rs_ultimo,depara_origem,depara_confianca,preco_unimed_normalizado_r_un,economia_pot_mensal_rs_mediana,oportunidade_mensal_rs,risco_mensal_rs,depara_ok_preco,flags_revisao,fonte_preco_global,fonte_preco_unimed
FENOBARBITAL (100MG/ML SOLUCAO INJETAVEL 2ML) B1,FENOBARBITAL SODICO,['CRISTALIA'],1,1,2.05,2.05,2.05,2.05,2.05,2025-09-10,86789,fenobarbital 100 mg/ml sol inj im/iv amp 2 ml,fenobarbital 100 mg/ml sol inj im/iv amp 2 ml,Ampola,3.06,92.05,281.673,C,MEDICAMENTOS,-33.0,-33.0,-33.0,-1.01,-92.97,llm,1.0,3.06,-92.97,92.97,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE METILFENIDATO (10 MG CAP DURA LIB PROL) A3,CLORIDRATO DE METILFENIDATO,['NOVARTIS'],4,4,7.243585,5.22437325,5.813183,2.027542,7.243585,2025-12-15,86908,"levodopa + benserazida, cloridrato de hbs 100+25 mg cap dura lib prol","levodopa + benserazida, cloridrato de hbs 100+25 mg cap dura lib prol",Comprimido,2.37,118.6,281.082,C,MEDICAMENTOS,205.6,120.4,145.3,4.8736,578.01,fuzzy_alta,0.77,2.37,408.36,0.0,408.36,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
METADONA (5MG COMPRIMIDO) A1,CLORIDRATO DE METADONA,['CRISTALIA'],1,1,0.72,0.72,0.72,0.72,0.72,2025-09-22,86964,metadona 5 mg com,metadona 5 mg com,Comprimido,1.02,268.0,273.36,C,MEDICAMENTOS,-29.4,-29.4,-29.4,-0.3,-80.4,fuzzy_alta,0.89,1.02,-80.4,80.4,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DIPIRONA MONOIDRATADA LIQUIDO  (50MG/ML SOL OR 100ML),DIPIRONA MONOIDRATADA,['EMS'],1,1,4.1,4.1,4.1,4.1,4.1,2025-10-14,83666,dipirona 50 mg/ml sol or fr 100 ml,dipirona 50 mg/ml sol or fr 100 ml,Frasco,5.59,48.5,271.115,C,MEDICAMENTOS,-26.7,-26.7,-26.7,-1.49,-72.27,llm,1.0,5.59,-72.27,72.27,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"DROPERIDOL (2,5MG/ML SOLUCAO INJETAVEL 1ML)",DROPERIDOL,['CRISTALIA'],1,1,8.24,8.24,8.24,8.24,8.24,2025-07-04,86734,"droperidol 2,5 mg/ml sol inj im/iv amp 1 ml","droperidol 2,5 mg/ml sol inj im/iv amp 1 ml",Ampola,10.53,25.4,267.462,C,MEDICAMENTOS,-21.7,-21.7,-21.7,-2.29,-58.17,llm,1.0,10.53,-58.17,58.17,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESOMEPRAZOL MAGNESICO TRI-HIDRATADO  (20MG),ESOMEPRAZOL MAGNESICO TRI-HIDRATADO,"['EMS', 'GERMED']",2,2,0.658929,0.6508929999999999,0.6508929999999999,0.642857,0.658929,2025-10-02,86772,esomeprazol magnesico 20 mg com rev,esomeprazol magnesico 20 mg com rev,Comprimido,0.52,510.1,265.252,C,MEDICAMENTOS,26.7,25.2,25.2,0.1389,70.87,llm,1.0,0.52,66.77,0.0,66.77,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DEXTRANA+HIPROMELOSE LIQUIDO ( 4MG/ML SOL OFT 15 ML),DEXTRANA+HIPROMELOSE,['CRISTALIA'],1,1,13.0,13.0,13.0,13.0,13.0,2025-08-07,86703,dextrana + hipromelose 1 mg/ml + 3 mg/ml sol oft gt fr 15 ml,dextrana + hipromelose 1 mg/ml + 3 mg/ml sol oft gt fr 15 ml,Frasco,12.2,21.7,264.73999999999995,C,MEDICAMENTOS,6.6,6.6,6.6,0.8,17.36,llm,1.0,12.2,17.36,0.0,17.36,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ATADURA GESSADA ORTOP BRANCO 15CM X 3M,PRODUTOS PARA SAUDE,['POLARFIX'],1,1,2.127735,2.127735,2.127735,2.127735,2.127735,2024-07-24,87461,atadura gessada cysne 15cm x 3m  embalagem individual,atadura gessada cysne 15cm x 3m  embalagem individual,Rolo,2.48,106.4,263.872,C,MATERIAIS,-14.2,-14.2,-14.2,-0.3523,-37.48,fuzzy_alta,0.79,2.48,-37.48,37.48,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE MIDAZOLAM INJETAVEL (1MG/ML INJ IV/IM/RET 5ML),CLORIDRATO DE MIDAZOLAM,['CRISTALIA'],2,2,2.5,2.3,2.3,2.1,2.5,2024-08-01,115305,midazolam 1 mg/ml sol inj amp 5 ml,midazolam 1 mg/ml sol inj amp 5 ml,Ampola,1.56,168.8,263.32800000000003,C,MEDICAMENTOS,60.3,47.4,47.4,0.94,158.67,llm,1.0,1.56,124.91,0.0,124.91,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
MIDAZOLAM (1MG/ML SOL INJ IV/IM/RET AMP 5ML) B1,MIDAZOLAM,['TEUTO'],1,1,1.55,1.55,1.55,1.55,1.55,2026-04-15,115305,midazolam 1 mg/ml sol inj amp 5 ml,midazolam 1 mg/ml sol inj amp 5 ml,Ampola,1.56,168.8,263.32800000000003,C,MEDICAMENTOS,-0.6,-0.6,-0.6,-0.01,-1.69,llm,1.0,1.56,-1.69,1.69,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GARROTE EM TIRAS LATEX FREE 46CM C/25 UN,PRODUTOS PARA SAUDE,['CRAL'],2,2,0.51001,0.555198,0.555198,0.51001,0.600386,2025-05-06,87907,torniquete de látex (livre) c/ 25,torniquete de látex (livre) c/ 25,Caixa,15.21,16.9,257.049,C,MATERIAIS,-16.2,-8.7,-8.7,-0.0984,-248.43,llm,1.0,0.6084,-0.9,0.9,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HIDRALAZINA (20MG/ML SOLUCAO INJETAVEL IM/IV AMPOLA 1ML),HIDRALAZINA,['CRISTALIA'],1,1,5.1,5.1,5.1,5.1,5.1,2025-10-14,86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,Ampola,6.56,38.7,253.872,C,MEDICAMENTOS,-22.3,-22.3,-22.3,-1.46,-56.5,fuzzy_alta,0.96,6.56,-56.5,56.5,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TENOXICAM  (200MG /PO LIOF INJ),TENOXICAM,"['CRISTALIA', 'EUROFARMA', 'UNIAO QUIMICA']",4,4,5.2,6.3,6.0,5.2,8.0,2026-04-02,87231,tenoxicam 20 mg po liof inj fa,tenoxicam 20 mg po liof inj fa,Frasco Ampola,5.53,45.7,252.72100000000003,C,MEDICAMENTOS,-6.0,13.9,8.5,-0.33,-15.08,llm,0.95,5.53,21.48,0.0,21.48,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SULFATO DE MAGNESIO (500MG/ML INJ 10ML),SULFATO DE MAGNESIO,['SAMTEC'],1,1,4.19,4.19,4.19,4.19,4.19,2026-03-13,87210,sulfato de magnesio 50% (500 mg/ml) sol inj amp 10 ml,sulfato de magnesio 50% (500 mg/ml) sol inj amp 10 ml,Ampola,5.72,43.7,249.964,C,CARRINHOS HUN,-26.7,-26.7,-26.7,-1.53,-66.86,llm,1.0,5.72,-66.86,66.86,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ADENOSINA (3MG/ML SOL INJ IV 2ML),ADENOSINA,"['HALEX ISTAR', 'HIPOLABOR']",2,2,8.4,8.2,8.2,8.0,8.4,2025-12-23,86435,adenosina 3 mg/ml sol inj amp 2 ml,adenosina 3 mg/ml sol inj amp 2 ml,Ampola,10.84,22.4,242.81599999999997,C,CARRINHOS HUN,-22.5,-24.4,-24.4,-2.44,-54.66,llm,1.0,10.84,-59.14,59.14,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE PROTAMINA INJETAVEL (10MG/ML SOLUCAO INJETAVEL 5ML),CLORIDRATO DE PROTAMINA,['CELLERA'],2,2,3.039948,3.044874,3.044874,3.039948,3.0498,2024-10-24,87141,protamina 10 mg/ml sol inj amp 5 ml,protamina 10 mg/ml sol inj amp 5 ml,Ampola,3.79,62.3,236.117,C,MEDICAMENTOS,-19.8,-19.7,-19.7,-0.7501,-46.73,llm,1.0,3.79,-46.42,46.42,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
MESILATO DE IMATINIBE (100MG CPR REV),MESILATO DE IMATINIBE,"['BLAU', 'CRISTALIA ONCO', 'EMS ONCO', 'EUROFARMA ONCO', 'NOVARTIS', 'ZYDUS']",7,7,9.962333,23.319614285714287,9.962333,4.5,109.0683,2026-04-07,107224,"imatinibe, mesilato 100mg com rev genérico","imatinibe, mesilato 100mg com rev genérico",Comprimido,8.72,27.0,235.44000000000003,C,EXCEPCIONAL,14.2,167.4,14.2,1.2423,33.54,llm,1.0,8.72,33.54,0.0,33.54,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE PAPAVERINA (50MG/ML SOL INJ IV/IM AMPOLA 2ML),CLORIDRATO DE PAPAVERINA,['HYPOFARMA'],2,2,15.7,15.85,15.85,15.7,16.0,2025-07-31,87096,papaverina 50 mg/ml sol inj amp 2 ml,papaverina 50 mg/ml sol inj amp 2 ml,Ampola,18.74,12.5,234.24999999999997,C,ITENS BAIXO CONSUMO,-16.2,-15.4,-15.4,-3.04,-38.0,llm,1.0,18.74,-36.12,36.12,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ETOMIDATO (2MG/ML SOLUCAO INJETAVEL 10ML) C3,ETOMIDATO,"['BLAU', 'CRISTALIA']",3,3,8.65,9.884666666666666,10.264,8.65,10.74,2025-09-22,86778,etomidato 2 mg/ml sol inj amp 10 ml,etomidato 2 mg/ml sol inj amp 10 ml,Ampola,11.56,20.2,233.512,C,CARRINHOS HUN,-25.2,-14.5,-11.2,-2.91,-58.78,llm,1.0,11.56,-26.18,26.18,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FOSFATO DE SODIO DIBASICO+FOSFATO DE SODIO MONOBAS LIQUIDO (220MG/ML SOL RET 130ML),FOSFATO DE SODIO DIBASICO+FOSFATO DE SODIO MONOBASICO,['CRISTALIA'],1,1,5.6,5.6,5.6,5.6,5.6,2025-10-14,86827,"sodio dibasico, fosfato de + sodio monobasico, fosfato de 0,06g/ml + 1,6g/ml sol ret 133 ml fr (phosfoenema)","sodio dibasico, fosfato de + sodio monobasico, fosfato de 0,06g/ml + 1,6g/ml sol ret 133 ml fr (phosfoenema)",Frasco,8.54,27.2,232.28799999999998,C,MEDICAMENTOS,-34.4,-34.4,-34.4,-2.94,-79.97,llm,0.9,8.54,-79.97,79.97,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TUBO ENDOTRAQUEAL 8.0 S/ BALAO,PRODUTOS PARA SAUDE,['SOLIDOR'],1,1,2.2638,2.2638,2.2638,2.2638,2.2638,2022-12-19,87577,"sonda endotraqueal com balao n° 8,0","sonda endotraqueal com balao n° 8,0",Unidade,3.78,58.8,222.26399999999998,C,MATERIAIS,-40.1,-40.1,-40.1,-1.5162,-89.15,fuzzy_alta,0.86,3.78,-89.15,89.15,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SULFATO DE MAGNESIO (500MG/ML INJETAVEL 10ML),SULFATO DE MAGNESIO HEPTAIDRATADO,['HALEX ISTAR'],1,1,0.8,0.8,0.8,0.8,0.8,2026-01-14,87209,sulfato de magnesio 10% (100 mg/ml) sol inj amp 10 ml,sulfato de magnesio 10% (100 mg/ml) sol inj amp 10 ml,Ampola,0.95,228.7,217.265,C,"VOLUMOSOS - FRESEN, DICOPL, TAG",-15.8,-15.8,-15.8,-0.15,-34.3,llm,0.9,0.95,-34.3,34.3,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SULFATO DE MAGNESIO (100MG/ML INJ 10ML),SULFATO DE MAGNESIO,['SAMTEC'],1,1,0.649,0.649,0.649,0.649,0.649,2026-03-17,87209,sulfato de magnesio 10% (100 mg/ml) sol inj amp 10 ml,sulfato de magnesio 10% (100 mg/ml) sol inj amp 10 ml,Ampola,0.95,228.7,217.265,C,"VOLUMOSOS - FRESEN, DICOPL, TAG",-31.7,-31.7,-31.7,-0.301,-68.84,llm,1.0,0.95,-68.84,68.84,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DIGLICONATO DE CLOREXIDINA MEDICAMENTO,DIGLICONATO DE CLOREXIDINA,"['RIOQUIMICA', 'VIC PHARMA']",2,2,9.21,10.605,10.605,9.21,12.0,2025-02-07,84211,"clorexidina alcoolica 0,5% 1000ml","clorexidina alcoolica 0,5% 1000ml",Litros,10.56,20.5,216.48000000000002,C,MATERIAIS,-12.8,0.4,0.4,-1.35,-27.67,llm,1.0,10.56,0.92,0.0,0.92,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LEVOFLOXACINO HEMI-HIDRATADO (5MG/ML SOL INJ IV 100ML),LEVOFLOXACINO HEMI-HIDRATADO,['HALEX ISTAR'],1,1,7.5,7.5,7.5,7.5,7.5,2025-06-23,86912,levofloxacino 5 mg/ml sol inj bols 100 ml,levofloxacino 5 mg/ml sol inj bols 100 ml,Bolsa,8.15,26.1,212.71500000000003,C,ITENS BAIXO CONSUMO,-8.0,-8.0,-8.0,-0.65,-16.97,llm,1.0,8.15,-16.97,16.97,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LEVOFLOXACINO INJETAVEL (5MG/ML INJ 100ML),LEVOFLOXACINO HEMI-HIDRATADO,['CRISTALIA'],1,1,7.4,7.4,7.4,7.4,7.4,2025-10-14,86912,levofloxacino 5 mg/ml sol inj bols 100 ml,levofloxacino 5 mg/ml sol inj bols 100 ml,Bolsa,8.15,26.1,212.71500000000003,C,ITENS BAIXO CONSUMO,-9.2,-9.2,-9.2,-0.75,-19.58,llm,0.98,8.15,-19.58,19.58,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA (250MG CAP DURA),TEMOZOLOMIDA,"['CAMBER', 'CRISTALIA ONCO', 'EUROFARMA ONCO']",4,4,54.999933,176.14998325,145.0,54.999933,359.6,2025-11-18,103714,temozolomida 250 mg cap dura genérico ,temozolomida 250 mg cap dura genérico ,Cápsula,93.29,2.25,209.9025,C,EXCEPCIONAL,-41.0,88.8,55.4,-38.2901,-86.15,llm,1.0,93.29,116.35,0.0,116.35,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
MUPIROCINA TOPICO (20MG/G BG POM),MUPIROCINA,"['CRISTALIA', 'PRATI DONADUZZI']",2,2,15.91,15.455,15.455,15.0,15.91,2025-11-19,87015,mupirocina 20 mg/g pom derm bg 15g,mupirocina 20 mg/g pom derm bg 15g,Bisnaga,36.19,5.8,209.902,C,MEDICAMENTOS,-56.0,-57.3,-57.3,-20.28,-117.62,fuzzy_alta,0.76,36.19,-120.26,120.26,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FOSFATO DISSODICO DE BETAMETASONA+ACETATO DE BETAM INJETAVEL (SOL/SUSP/PO),FOSFATO DISSODICO DE BETAMETASONA+ACETATO DE BETAMETASONA,['HYPERA'],1,1,5.599998,5.599998,5.599998,5.599998,5.599998,2024-03-28,86517,"betametasona, fosfato dissodico + betametasona, acetato 3 mg/ml + 3 mg/ml sus inj amp 1 ml","betametasona, fosfato dissodico + betametasona, acetato 3 mg/ml + 3 mg/ml sus inj amp 1 ml",Ampola,7.71,27.2,209.712,C,MEDICAMENTOS,-27.4,-27.4,-27.4,-2.11,-57.39,llm,1.0,7.71,-57.39,57.39,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CANULA GUEDEL  NÂ¿ 3 TAMANHO 90MM,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,0.9785,0.9785,0.9785,0.9785,0.9785,2024-05-21,111149,canula de guedell estéril nº 3,canula de guedell estéril nº 3,Unidade,2.01,103.1,207.23099999999997,C,MATERIAIS,-51.3,-51.3,-51.3,-1.0315,-106.35,llm,1.0,2.01,-106.35,106.35,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CARBAMAZEPINA LIQUIDO ( 20MG/ML SUS OR 100ML C1) ORAL,CARBAMAZEPINA,['UNIAO QUIMICA'],1,1,10.8,10.8,10.8,10.8,10.8,2023-04-11,86564,carbamazepina 20 mg/ml sus or fr 100 ml,carbamazepina 20 mg/ml sus or fr 100 ml,Frasco,12.29,16.7,205.24299999999997,C,MEDICAMENTOS,-12.1,-12.1,-12.1,-1.49,-24.88,fuzzy_alta,0.78,12.29,-24.88,24.88,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DESALEX,LORATADINA,['LABORATORIO GLOBO'],3,3,5.2,3.1733333333333333,4.1,0.22,5.2,2025-10-16,86685,"desloratadina 0,5 mg/ml xpe fr 100 ml","desloratadina 0,5 mg/ml xpe fr 100 ml",Frasco,6.97,29.2,203.524,C,MEDICAMENTOS,-25.4,-54.5,-41.2,-1.77,-51.68,llm,0.8,6.97,-83.8,83.8,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
AGULHA DESC 25X07,PRODUTOS PARA SAUDE,"['DESCARPACK', 'INJEX', 'SR', 'TKL']",4,4,0.062964,0.0515635,0.052205,0.03888,0.062964,2026-02-11,87445,agulha descartavel 25 x 7,agulha descartavel 25 x 7,Unidade,0.07,2891.4,202.39800000000002,C,MATERIAIS,-10.1,-26.3,-25.4,-0.007,-20.34,llm,1.0,0.07,-51.45,51.45,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESPECULO VAGINAL DESC P ESTERIL,PRODUTOS PARA SAUDE,['CRAL'],1,1,1.1484,1.1484,1.1484,1.1484,1.1484,2023-06-20,87725,especulo vaginal descartavel (tam: p) esteril s/ lubrificante,especulo vaginal descartavel (tam: p) esteril s/ lubrificante,Unidade,1.26,160.5,202.23,C,MATERIAIS,-8.9,-8.9,-8.9,-0.1116,-17.91,fuzzy_alta,0.91,1.26,-17.91,17.91,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GLICINATO DE ALUMÂ¿NIO+ACIDO ACETILSALICILICO+CARBONATO DE MAGNESIO (100MG COMPRIMIDO),ACIDO ACETILSALICILICO+GLICINATO DE ALUMINIO+CARBONATO DE MA,['EMS SIGMA PHARMA'],2,2,0.388667,0.4178855,0.4178855,0.388667,0.447104,2024-05-09,86413,acido acetilsalicilico 100 mg com rev tamponado,acido acetilsalicilico 100 mg com rev tamponado,Comprimido,0.4,505.0,202.0,C,MEDICAMENTOS,-2.8,4.5,4.5,-0.0113,-5.72,llm,1.0,0.4,9.03,0.0,9.03,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OLEATO DE MONOETANOLAMINA ( 50MG/ML INJ 2ML),OLEATO DE MONOETANOLAMINA,['FQM'],2,2,6.769465,6.5422910000000005,6.5422910000000005,6.315117,6.769465,2025-08-29,86777,etanolamina 50 mg/ml sol inj amp 2 ml,etanolamina 50 mg/ml sol inj amp 2 ml,Ampola,8.9,22.6,201.14000000000001,C,MEDICAMENTOS,-23.9,-26.5,-26.5,-2.1305,-48.15,llm,0.9,8.9,-53.28,53.28,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"ATADURA ALGODAO ORTOP 15CM X 1,0M",PRODUTOS PARA SAUDE,['POLARFIX'],1,1,0.5337,0.5337,0.5337,0.5337,0.5337,2024-02-06,87454,atadura ortopedica algodao 15cmx1m ,atadura ortopedica algodao 15cmx1m ,Rolo,1.16,168.5,195.45999999999998,C,MATERIAIS,-54.0,-54.0,-54.0,-0.6263,-105.53,llm,1.0,1.16,-105.53,105.53,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LAMINA BISTURI 11 ACO INOX,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,0.196711,0.196711,0.196711,0.196711,0.196711,2024-09-17,87761,lamina de bisturi carbonada n° 11,lamina de bisturi carbonada n° 11,Unidade,0.23,847.5,194.925,C,MATERIAIS,-14.5,-14.5,-14.5,-0.0333,-28.21,llm,0.9,0.23,-28.21,28.21,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CARMELOSE SODICA (5MG/ML SOLUCAO OFTALMICA 15ML),CARMELOSE SODICA,['NEO QUIMICA'],1,1,7.859995,7.859995,7.859995,7.859995,7.859995,2024-10-25,86573,carmelose 5 mg/ml sol oft fr got 5 ml,carmelose 5 mg/ml sol oft fr got 5 ml,Frasco,18.81,10.3,193.743,C,MEDICAMENTOS,-58.2,-58.2,-58.2,-10.95,-112.79,llm,0.9,18.81,-112.79,112.79,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GLICOSE (100MG/ML SOLUCAO PARA INFUSAO IV SISTEMA FECHADO 500 ML),GLICOSE,['FARMARIN'],1,1,5.35,5.35,5.35,5.35,5.35,2024-05-28,87315,glicose 10% 500 ml fr sistema fechado,glicose 10% 500 ml fr sistema fechado,Frasco,4.73,40.9,193.45700000000002,C,"VOLUMOSOS - FRESEN, DICOPL, TAG",13.1,13.1,13.1,0.62,25.36,llm,1.0,4.73,25.36,0.0,25.36,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GLICOSE (10% SOLUCAO INJETAVEL IV 500ML),GLICOSE,['JP INDUSTRIA'],1,1,4.67,4.67,4.67,4.67,4.67,2025-03-28,87315,glicose 10% 500 ml fr sistema fechado,glicose 10% 500 ml fr sistema fechado,Frasco,4.73,40.9,193.45700000000002,C,"VOLUMOSOS - FRESEN, DICOPL, TAG",-1.3,-1.3,-1.3,-0.06,-2.45,llm,1.0,4.73,-2.45,2.45,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE PROPAFENONA (300MG CP REVESTIDO),CLORIDRATO DE PROPAFENONA,['PRATI DONADUZZI'],1,1,0.489573,0.489573,0.489573,0.489573,0.489573,2025-10-13,86860,propafenona 300 mg com rev,propafenona 300 mg com rev,Comprimido,1.87,103.0,192.61,C,MEDICAMENTOS,-73.8,-73.8,-73.8,-1.3804,-142.18,llm,0.98,1.87,-142.18,142.18,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE PROPAFENONA,CLORIDRATO DE PROPAFENONA,['ALTHAIA S.A INDUSTRIA'],1,1,0.52663,0.52663,0.52663,0.52663,0.52663,2025-10-07,86860,propafenona 300 mg com rev,propafenona 300 mg com rev,Comprimido,1.87,103.0,192.61,C,MEDICAMENTOS,-71.8,-71.8,-71.8,-1.3434,-138.37,llm,1.0,1.87,-138.37,138.37,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ROSUVASTATINA CALCICA ( 20MG COMPRIMIDO),ROSUVASTATINA CALCICA,"['ACCORD', 'EMS', 'FQM', 'SANDOZ']",5,5,14.0,4.497144400000001,0.652389,0.2,14.0,2025-12-01,87172,rosuvastatina cálcica 20 mg com rev,rosuvastatina cálcica 20 mg com rev,Comprimido,0.3,639.9,191.97,C,MEDICAMENTOS,4566.7,1399.0,117.5,13.7,8766.63,llm,1.0,0.3,225.49,0.0,225.49,True,"outlier_custo_ultimo,gap_inflado_por_outlier",global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"AMOXICILINA TRI-HIDRATADA+CLAVULANATO DE POTASSIO (250MG+62,5MG/5ML SUS OR 100ML)",AMOXICILINA TRI-HIDRATADA+CLAVULANATO DE POTASSIO,['SANDOZ'],1,1,9.27,9.27,9.27,9.27,9.27,2026-03-19,86476,amoxicilina tri-hidratada + clavulanato de potássio 400 mg + 57 mg/5 ml sus or fr 70 ml ,amoxicilina tri-hidratada + clavulanato de potássio 400 mg + 57 mg/5 ml sus or fr 70 ml ,Frasco,17.45,11.0,191.95,C,MEDICAMENTOS,-46.9,-46.9,-46.9,-8.18,-89.98,fuzzy_alta,0.87,17.45,-89.98,89.98,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
BISSULFATO DE CLOPIDOGREL (75MG COMPRIMIDO),BISSULFATO DE CLOPIDOGREL,"['ACCORD', 'BIOLAB', 'EMS', 'GERMED']",4,4,0.396429,0.33414299999999997,0.3450715,0.25,0.396429,2025-09-08,86643,clopidogrel 75 mg com rev,clopidogrel 75 mg com rev,Comprimido,0.46,410.0,188.6,C,MEDICAMENTOS,-13.8,-27.4,-25.0,-0.0636,-26.06,llm,1.0,0.46,-47.12,47.12,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
EXEMESTANO (25MG COMPRIMIDO),EXEMESTANO,"['ACCORD', 'EUROFARMA ONCO', 'SUN PHARMA']",4,4,3.386667,3.55389,3.35778,3.166667,4.333333,2025-12-01,108057,exemestano 25mg com rev proexty,exemestano 25mg com rev proexty,Comprimido,4.47,40.5,181.035,C,EXCEPCIONAL,-24.2,-20.5,-24.9,-1.0833,-43.87,llm,1.0,4.47,-45.04,45.04,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NISTATINA  (100.000UI/ML SUSP FR 50ML),NISTATINA,"['EMS', 'GERMED', 'PRATI DONADUZZI']",3,3,4.77,5.46,4.77,4.3,7.31,2025-09-26,87034,nistatina 100.000 ui/ml sus or fr 50 ml,nistatina 100.000 ui/ml sus or fr 50 ml,Frasco,6.27,28.8,180.576,C,MEDICAMENTOS,-23.9,-12.9,-23.9,-1.5,-43.2,llm,1.0,6.27,-43.2,43.2,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
