linha_clinica_global,principio_ativo,marcas_global,qtd_skus_global,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_unidade_venda,preco_unimed_vl_medio_r_un,unimed_prev_mes_qtd,unimed_prev_mes_rs,unimed_abc,unimed_politica,gap_pct_ultimo_global_vs_unimed,gap_pct_media_global_vs_unimed,gap_pct_mediana_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,economia_pot_mensal_rs_ultimo,depara_origem,depara_confianca,preco_unimed_normalizado_r_un,economia_pot_mensal_rs_mediana,oportunidade_mensal_rs,risco_mensal_rs,depara_ok_preco,flags_revisao,fonte_preco_global,fonte_preco_unimed
CEFOTAXIMA SODICA (1G PO SOL INJ IV/IM),CEFOTAXIMA SODICA,['FRESENIUS'],1,1,6.5,6.5,6.5,6.5,6.5,2024-01-22,83653,ceftriaxona sodica 1 g iv/im po liof inj fa,ceftriaxona sodica 1 g iv/im po liof inj fa,Frasco Ampola,6.64,2604.7,17295.208,B,MEDICAMENTOS,-2.1,-2.1,-2.1,-0.14,-364.66,fuzzy_alta,0.78,6.64,-364.66,364.66,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV FR SIST FECH 250ML),CLORETO DE SODIO,"['EQUIPLEX', 'EUROFARMA', 'FARMACE', 'FARMARIN', 'FRESENIUS', 'HALEX ISTAR', 'JP INDUSTRIA']",7,7,2.7,3.552857142857143,3.5,2.7,5.26,2026-03-19,83662,"cloreto de sodio 0,9% 250 ml fr sistema fechado","cloreto de sodio 0,9% 250 ml fr sistema fechado",Frasco,4.2,4008.3,16834.86,B,"VOLUMOSOS - FRESEN, DICOPL, TAG",-35.7,-15.4,-16.7,-1.5,-6012.45,llm,1.0,4.2,-2805.81,2805.81,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ETANERCEPTE (50MG SOLUCAO INJETAVEL4 CANETAS PREENCHIDAS 1ML),ETANERCEPTE,['BIOCON BIOLOGICS'],2,2,400.08,400.08,400.08,400.08,400.08,2024-08-28,92892,etanercepte 50 mg/ml sol inj sc caneta preenc 1 ml erelzi ,etanercepte 50 mg/ml sol inj sc caneta preenc 1 ml erelzi ,Unidade,396.8,41.38,16419.584000000003,B,EXCEPCIONAL CD,0.8,0.8,0.8,3.28,135.73,llm,1.0,396.8,135.73,0.0,135.73,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PROPOFOL (10MG/ML OU 1% SOLUCAO INJETAVEL IV 20ML) C1,PROPOFOL,"['ASPEN PHARMA', 'CAMBER', 'CRISTALIA', 'FRESENIUS', 'MIDFARMA', 'NEO QUIMICA', 'TEUTO', 'UNIAO QUIMICA']",9,9,6.1,10.046755555555556,7.8,5.5,32.784,2026-04-23,115780,propofol 10mg/ml sol inj amp 20ml,propofol 10mg/ml sol inj amp 20ml,Ampola,7.62,2135.43,16271.976599999998,B,MEDICAMENTOS,-19.9,31.8,2.4,-1.52,-3245.85,llm,1.0,7.62,384.38,0.0,384.38,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PALBOCICLIBE (125MG CAP DURA),PALBOCICLIBE,['DR REDDYS'],1,1,342.857143,342.857143,342.857143,342.857143,342.857143,2025-09-15,87082,palbociclibe 125 mg cap dura ibrance,palbociclibe 125 mg cap dura ibrance,Cápsula,354.23,44.1,15621.543000000001,B,EXCEPCIONAL CD,-3.2,-3.2,-3.2,-11.3729,-501.54,fuzzy_alta,0.88,354.23,-501.54,501.54,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FITA HIPOALERGÃNICA MICROPORE,PRODUTOS PARA SAUDE,['3M'],8,8,9.56,15.84375,9.65,4.52,48.12,2025-12-30,88058,"fita médica suave hipoalergênica branco 50mm x 4,0m","fita médica suave hipoalergênica branco 50mm x 4,0m",Unidade,36.84,409.3,15078.612000000001,A,MATERIAIS,-74.0,-57.0,-73.8,-27.28,-11165.7,llm,0.8,36.84,-11128.87,11128.87,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SANEANTES QUARTENARIO DE AMONIO,PEROXIDO DE HIDROGENIO+QUATERNARIO DE AMONIO,['RIOQUIMICA'],1,1,292.404221,292.404221,292.404221,292.404221,292.404221,2023-01-20,113688,revital ox desinfetante de alto nivel steris 4l,revital ox desinfetante de alto nivel steris 4l,Galão,312.0,48.32,15075.84,A,MATERIAIS,-6.3,-6.3,-6.3,-19.5958,-946.87,llm,0.7,312.0,-946.87,946.87,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PANTOPRAZOL SODICO SESQUI-HIDRATADO (40MG PO SOL INJ IV FA + AMP DIL 10ML),PANTOPRAZOL SODICO SESQUI-HIDRATADO,"['BLAU', 'CRISTALIA', 'EUROFARMA', 'SUN PHARMA', 'TEUTO']",5,5,5.5,6.640000000000001,6.5,5.5,8.0,2026-05-11,87094,pantoprazol 40 mg po liof inj fa,pantoprazol 40 mg po liof inj fa,Frasco Ampola,7.49,1772.0,13272.28,B,MEDICAMENTOS,-26.6,-11.3,-13.2,-1.99,-3526.28,llm,0.95,7.49,-1754.28,1754.28,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PANTOPRAZOL SODICO (40MG PO LIOF SOL INJ IV FA + DIL AMP 10ML),PANTOPRAZOL SODICO SESQUI-HIDRATADO,['CRISTALIA'],1,1,7.4,7.4,7.4,7.4,7.4,2025-05-06,87094,pantoprazol 40 mg po liof inj fa,pantoprazol 40 mg po liof inj fa,Frasco Ampola,7.49,1772.0,13272.28,B,MEDICAMENTOS,-1.2,-1.2,-1.2,-0.09,-159.48,llm,1.0,7.49,-159.48,159.48,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"PIPERACILINA SÂ¿DICA, TAZOBACTAM SÂ¿DICO (4G + 500MG PO SOL INJ IV FRASCO)",PIPERACILINA SODICA+TAZOBACTAM SODICO,"['AUROBINDO', 'BIOCHIMICO', 'BLAU', 'EUROFARMA', 'FRESENIUS', 'MYLAN', 'NOVAFARMA', 'SANDOZ', 'TEUTO']",10,10,180.0,29.482999999999997,13.115,0.0,180.0,2026-02-19,86838,piperacilina + tazobactam 4 g + 500 mg po liof inj fa,piperacilina + tazobactam 4 g + 500 mg po liof inj fa,Frasco Ampola,17.93,705.2,12644.236,B,MEDICAMENTOS,903.9,64.4,-26.9,162.07,114291.76,llm,1.0,17.93,-3395.54,3395.54,0.0,True,"outlier_custo_ultimo,gap_inflado_por_outlier",global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CATETER INTRAVENOSO 22G DISP SEG,PRODUTOS PARA SAUDE,"['DESCARPACK', 'INJEX', 'LABOR IMPORT']",4,4,1.4628,1.2541505000000002,1.3814000000000002,0.6968,1.557002,2026-03-12,87890,cateter intravenoso c/ dispositivo segurança 22g jelco,cateter intravenoso c/ dispositivo segurança 22g jelco,Unidade,3.16,3886.5,12281.34,A,MATERIAIS,-53.7,-60.3,-56.3,-1.6972,-6596.17,llm,1.0,3.16,-6912.53,6912.53,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SCALP 21G LUER LOCK DISPOSITIVO SEG,PRODUTOS PARA SAUDE,"['DESCARPACK', 'INJEX', 'MEDIX']",3,3,0.2806,0.3214166666666667,0.32,0.2806,0.36365,2024-10-10,87540,scalp n° 21g ,scalp n° 21g ,Unidade,1.7,7133.5,12126.949999999999,A,MATERIAIS,-83.5,-81.1,-81.2,-1.4194,-10125.29,fuzzy_alta,0.9,1.7,-9844.23,9844.23,0.0,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
