linha_clinica_global,global_cod_produto,global_desc_produto,global_marca,principio_ativo,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_un,preco_unimed_vl_medio_r_un,unimed_abc,unimed_prev_mes_rs,gap_pct_ultimo_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,depara_origem,depara_confianca,fonte_preco_global,fonte_preco_unimed
"SULFATO DE ATROPINA (0,50MG/2ML INJ AMPOLA 2ML)",4786,"SANTROPINA 0,50MG/2ML INJ IV AMP 2ML",SANTISA,SULFATO DE ATROPINA,1,0.6,0.6,0.6,0.6,0.6,2025-02-17,86494,"atropina 0,25 mg/ml sol inj amp 1 ml","atropina 0,25 mg/ml sol inj amp 1 ml",Ampola,0.78,C,153.816,-23.1,-0.18,llm,0.8,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SULFATO DE ATROPINA INJETAVEL (0,25MG/ML SOL INJ AMPOLA 1ML) ",1319,"ATROFARMA 0,25 MG/ML SOL INJ 1 ML",FARMACE,SULFATO DE ATROPINA,1,0.6,0.6,0.6,0.6,0.6,2025-10-13,86494,"atropina 0,25 mg/ml sol inj amp 1 ml","atropina 0,25 mg/ml sol inj amp 1 ml",Ampola,0.78,C,153.816,-23.1,-0.18,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COLECALCIFEROL (7000UI CAPSULA GELATINOSA MOLE) ,4884,VITAMINA D3 7000 UI CAP MOLE,NEO QUIMICA,COLECALCIFEROL,1,0.157,0.157,0.157,0.157,0.157,2024-11-11,86666,colecalciferol 7.000 ui com rev,colecalciferol 7.000 ui com rev,Comprimido,2.0,C,153.4,-92.2,-1.843,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COLECALCIFEROL (7000UI COMPRIMIDO REVESTIDO),2949,DEMI-D 7.000 UI CP,FQM,COLECALCIFEROL,1,0.956333,0.956333,0.956333,0.956333,0.956333,2025-06-12,86666,colecalciferol 7.000 ui com rev,colecalciferol 7.000 ui com rev,Comprimido,2.0,C,153.4,-52.2,-1.0437,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COLECALCIFEROL (7000UI COMPRIMIDO REVESTIDO),5143,DEMI D 7.000UI CP REVESTIDO,FQM,COLECALCIFEROL,1,0.701104,0.701104,0.701104,0.701104,0.701104,2025-02-25,86666,colecalciferol 7.000 ui com rev,colecalciferol 7.000 ui com rev,Comprimido,2.0,C,153.4,-64.9,-1.2989,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
MISOPROSTOL (25MCG CP VAGINAL) C1,2250,PROSTOKOS 25MCG CP (C1),HEBRON,MISOPROSTOL,1,7.529052,7.529052,7.529052,7.529052,7.529052,2024-10-04,87001,misoprostol 25 mcg ,misoprostol 25 mcg ,Comprimido,9.2,C,151.79999999999998,-18.2,-1.6709,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PARACETAMOL LIQUIDO (200MG/ML SOL OR 15ML),1401,PARACETAMOL 200 MG/ML SOL OR 15 ML,EMS,PARACETAMOL,1,1.1,1.1,1.1,1.1,1.1,2025-09-08,87097,paracetamol 200 mg/ml sol or fr got 15 ml ,paracetamol 200 mg/ml sol or fr got 15 ml ,Frasco,1.45,C,151.10449999999997,-24.1,-0.35,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FENOBARBITAL (40MG/ML SOLUCAO ORAL 20ML) B1,1665,FENOCRIS 40 MG/ML SOL OR 20 ML (B1) VP,CRISTALIA,FENOBARBITAL,1,4.29,4.29,4.29,4.29,4.29,2023-12-20,86790,fenobarbital 40 mg/ml sol or fr gt 20 ml,fenobarbital 40 mg/ml sol or fr gt 20 ml,Frasco,4.64,C,150.33599999999998,-7.5,-0.35,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FENOBARBITAL (40MG/ML SOLUCAO ORAL 20ML) B1,228,FENOBARBITAL 40 MG/ML SOL OR (B1),UNIAO QUIMICA,FENOBARBITAL,1,3.8,3.8,3.8,3.8,3.8,2022-11-28,86790,fenobarbital 40 mg/ml sol or fr gt 20 ml,fenobarbital 40 mg/ml sol or fr gt 20 ml,Frasco,4.64,C,150.33599999999998,-18.1,-0.84,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA (20MG CAP DURA ),4637,TEMOZOLOMIDA 20MG CAP FR,BLAU,TEMOZOLOMIDA,1,0.7,0.7,0.7,0.7,0.7,2025-06-11,103898,temozolomida 20 mg cap gel dura genérico ,temozolomida 20 mg cap gel dura genérico ,Cápsula,12.0,C,150.0,-94.2,-11.3,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA (20MG CAP DURA ),5423,MOZ 20MG CAP FR,CAMBER,TEMOZOLOMIDA,1,11.000003,11.000003,11.000003,11.000003,11.000003,2025-11-18,103898,temozolomida 20 mg cap gel dura genérico ,temozolomida 20 mg cap gel dura genérico ,Cápsula,12.0,C,150.0,-8.3,-1.0,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA (20MG CAP DURA ),1150,TEMOZOLOMIDA 20MG CAP FR,EUROFARMA ONCO,TEMOZOLOMIDA,1,19.4,19.4,19.4,19.4,19.4,2024-01-23,103898,temozolomida 20 mg cap gel dura genérico ,temozolomida 20 mg cap gel dura genérico ,Cápsula,12.0,C,150.0,61.7,7.4,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA (20MG CAP DURA ),4192,TEMOZOLOMIDA 20MG CAP FR OL,EUROFARMA ONCO,TEMOZOLOMIDA,1,18.0,18.0,18.0,18.0,18.0,2025-05-22,103898,temozolomida 20 mg cap gel dura genérico ,temozolomida 20 mg cap gel dura genérico ,Cápsula,12.0,C,150.0,50.0,6.0,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
