NUM_NOTA,DT_EMISSAO_NOTA,DT_ENTRADA,COD_PRODUTO,DESCRICAO_PRODUTO,MARCA,PRINCIPIO_ATIVO,LINHA_PRODUTO,CUSTO_ENTRADA,QT_ENTRADA,QT_ESTOQUE_ANTERIOR,CUSTO_MED_ANTERIOR,COD_FORNECEDOR,RAZAO_SOCIAL
132369,2026-03-17,2026-03-23,387,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,EQUIPLEX,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2.2,18760,0,2.5,502,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
368404,2023-11-30,2023-12-08,3215,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,FARMARIN,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,3.03,8160,336,3.23,1161,FARMARIN INDUSTRIA E COMERCIO LTDA
26822,2026-03-31,2026-04-01,5592,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,ACULIFE,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2.3,50040,0,2.3,2177,COPERMED COMERCIAL IMPORTADORA LTDA
25653,2025-10-17,2025-10-21,5593,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,ACULIFE,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2.7,20016,0,0.0,2177,COPERMED COMERCIAL IMPORTADORA LTDA
98269,2024-02-29,2024-03-11,437,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,FRESENIUS,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,3.0,960,80,3.04,1079,FRESENIUS KABI BRASIL
132061,2026-02-28,2026-03-09,385,CLORETO DE SODIO 9MG/ML SOL INJ IV 10ML,EQUIPLEX,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 10ML)  ,0.12,12800,200,0.16,502,EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
426115,2025-05-22,2025-05-28,3217,CLORETO DE SODIO 9MG/ML SOL INJ IV 10ML,FARMARIN,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 10ML)  ,0.17,7000,94200,0.17,1161,FARMARIN INDUSTRIA E COMERCIO LTDA
354061,2026-01-06,2026-01-13,1003,CLORETO DE SODIO 9MG/ML SOL INJ 10ML,FARMACE,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 10ML)  ,0.14,25200,254000,0.14,157,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
36836,2024-04-12,2024-04-26,1100,CLORETO DE SODIO 9MG/ML SOL INJ 10ML,SAMTEC,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 10ML)  ,0.209,77600,26600,0.21,719,SAMTEC BIOTECNOLOGIA LTDA
99356,2025-11-04,2025-11-21,2045,CLORETO DE SODIO 9MG/ML SOL INJ 10ML,HALEX ISTAR,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 10ML)  ,0.18,99400,0,0.0,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
