cod_produto,desc_unimed,linha_produto,principio_ativo,best_cod_item,best_desc_global,sim_desc,sim_linha,best_sim,sim_bin
3017,GEFITINIBE 250 MG CP,GEFITINIBE (250MG COMPRIMIDO REVESTIDO),GEFITINIBE,102396,nexium 20mg comprimido revestido,0.4782608695652174,0.75,0.75,0.7-0.8
5099,GEFIB 250 MG CP REV,GEFITINIBE (250MG COMPRIMIDO REVESTIDO),GEFITINIBE,86970,metildopa 250 mg com rev,0.7727272727272727,0.6181818181818182,0.7727272727272727,0.7-0.8
4425,TIMB 250MG CP OL,GEFITINIBE (250MG COMPRIMIDO REVESTIDO),GEFITINIBE,102396,nexium 20mg comprimido revestido,0.6190476190476191,0.75,0.75,0.7-0.8
2788,ADOLESS 60+15 MCG CP,GESTODENO+ETINILESTRADIOL (60+15 MCG COMPRIMIDO),GESTODENO+ETINILESTRADIOL,86578,"carvedilol 6,25 mg com",0.6976744186046512,0.5483870967741935,0.6976744186046512,0.6-0.7
1515,ADOLESS 60+15 MCG CP VP,GESTODENO+ETINILESTRADIOL (60+15 MCG COMPRIMIDO),GESTODENO+ETINILESTRADIOL,86578,"carvedilol 6,25 mg com",0.6521739130434783,0.5483870967741935,0.6521739130434783,0.6-0.7
4405,ADOLESS 60+15MCG CP,GESTODENO+ETINILESTRADIOL (60+15 MCG COMPRIMIDO),GESTODENO+ETINILESTRADIOL,86578,"carvedilol 6,25 mg com",0.6666666666666666,0.5483870967741935,0.6666666666666666,0.6-0.7
4804,"GINESSE 0,075+0,02 MG CP","GESTODENO+ETINILESTRADIOL SOLIDO (0,075+0,02MG)",GESTODENO+ETINILESTRADIOL,86638,"clonidina 0,10 mg com",0.5652173913043478,0.3880597014925373,0.5652173913043478,0.5-0.6
4306,"GINESSE 0,075+0,02 MG CP","GESTODENO+ETINILESTRADIOL SOLIDO (0,075+0,02MG)",ETINILESTRADIOL+GESTODENO,86638,"clonidina 0,10 mg com",0.5652173913043478,0.3880597014925373,0.5652173913043478,0.5-0.6
5434,GINKGO VITAL (GINKGO BILOBA) 80MG CP REV,GINKGO BILOBA (80MG CP REVESTIDO),GINKGO BILOBA L.,102396,nexium 20mg comprimido revestido,0.40625,0.6551724137931034,0.6551724137931034,0.6-0.7
1282,CLISTEROL 120MG/ML SOLUCAO RETAL 500 ML,GLICEROL (120MG/ML SOLUCAO RETAL 500ML),GLICEROL,111299,ciclolato 10mg/ml solução oftálmica estéril 5ml,0.6511627906976745,0.6588235294117647,0.6588235294117647,0.6-0.7
3648,CLISTEROL 120MG/ML SOL. RETAL 500ML VP,GLICEROL (120MG/ML SOLUCAO RETAL 500ML),GLICEROL,111299,ciclolato 10mg/ml solução oftálmica estéril 5ml,0.5714285714285714,0.6588235294117647,0.6588235294117647,0.6-0.7
4721,"GLYCELAX 0,91G USO LACTENTE/INFANTIL","GLICEROL 0,91G USO LACTENTE/INFANTIL",GLICERINA,88010,eletrodo descartavel infantil,0.4307692307692308,0.49230769230769234,0.49230769230769234,<0.5
3786,SOMALGIN CARDIO TAMPONADO 100MG CP ,GLICINATO DE ALUM¿NIO+ACIDO ACETILSALICILICO+CARBONATO DE MAGNESIO (100MG COMPRIMIDO),ACIDO ACETILSALICILICO+GLICINATO DE ALUMINIO+CARBONATO DE MA,86412, acido acetilsalicilico 100 mg com ,0.5,0.5871559633027523,0.5871559633027523,0.5-0.6
1580,SOMALGIN CARDIO TAMPONADO 100MG CP VP,GLICINATO DE ALUM¿NIO+ACIDO ACETILSALICILICO+CARBONATO DE MAGNESIO (100MG COMPRIMIDO),ACIDO ACETILSALICILICO+GLICINATO DE ALUMINIO+CARBONATO DE MA,86568,"calcio, carbonato de 500 mg com rev",0.6111111111111112,0.4909090909090909,0.6111111111111112,0.6-0.7
5192,GLICLAZIDA 30MG CP,GLICLAZIDA (30MG COMPRIMIDO LIBERACAO PROLONGADA),GLICLAZIDA,86600,gliclazida 30 mg com lib prol,0.7916666666666666,0.8,0.8,0.7-0.8
