linha_produto,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global
CLORAMBUCILA (2MG COMPRIMIDO),CLORAMBUCILA,1,['ASPEN PHARMA'],86935,loperamida 2 mg com,0.67,86935,loperamida 2 mg com,0.62,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86633,"clomipramina, cloridrato 25 mg com rev",0.09574995664500548,86524,biperideno 2 mg com,1.0,0.6491499913290011,1.0,0.34463368160458047,spacy,86524,biperideno 2 mg com
"METOTREXATO DE SODIO (2,5MG CP)",METOTREXATO DE SODIO,1,['BLAU'],87284,valproato de sodio 250 mg cap mole,0.67,84107,hipoclorito de sodio 1% 5l,0.59,115190,dupilumabe 150 mg/ml sol inj can 2 ml - dupixent,0.86,86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.2119292604232374,116345,"letrozol 2,5 mg com rev - eurofarma ",0.9130046963691711,0.6489867913584817,0.9130046963691711,0.2780163260614453,spacy,116345,"letrozol 2,5 mg com rev - eurofarma "
"LATANOPROSTA (0,05MG/ML SOL OFTALM FRASCO GOTA 2,5ML)",LATANOPROSTA,1,['LEGRAND OFTA'],83684,"ipratropio, brometo 0,25 mg/ml sol inal fr got 20 ml",0.61,111299,ciclolato 10mg/ml solução oftálmica estéril 5ml,0.61,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,111299,ciclolato 10mg/ml solução oftálmica estéril 5ml,0.19803719668109088,87017,"naloxona 0,4 mg/ml sol inj amp 1 ml",0.9663782119750977,0.6488830817312377,0.9663782119750977,0.2965043469598512,spacy,87017,"naloxona 0,4 mg/ml sol inj amp 1 ml"
TOUCA DESC C/ELASTICO SANFONADA BRANCA,PRODUTOS PARA SAUDE,3,"['AMED S/A', 'DEJAMARO', 'DESCARPACK']",83909,sacola plastica branca 40 x 60 x 4,0.6,87804,mascara descartavel tripla c/ clips c/ elastico,0.58,110444,pulseira de identificação adulto/infantil kit c/498 pulseiras - pu00011 teclabel,0.86,87689,touca descartavel,0.3721382876583102,87526,gorro descartavel c/ tiras ,0.8315474987030029,0.6487371572722627,0.86,0.20103398444790238,fuzz_wratio,110444,pulseira de identificação adulto/infantil kit c/498 pulseiras - pu00011 teclabel
DACARBAZINA (200MG PO LIOFILO PARA SOLUCAO INJETAVEL FRASCO-AMPOLA),DACARBAZINA,2,['EUROFARMA ONCO'],116736,addaven sol inj amp 10ml,0.63,86620,hidrocortisona 500 mg po liof sol inj fa,0.61,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,84742,frasco de aspiracao 5l,0.22460015237647032,86620,hidrocortisona 500 mg po liof sol inj fa,0.9166201949119568,0.6482440694576854,0.9166201949119568,0.27300913090621387,spacy,86620,hidrocortisona 500 mg po liof sol inj fa
"DESONIDA (0,5MG/G CREME 30 GRAMAS) ",DESONIDA,1,['LABORATORIO GLOBO'],102325,"dexametasona 0,1mg/ml sem corante 120ml",0.56,86694,"dexametasona, acetato 1 mg/g crem derm bg 10 g ",0.57,86604,"golimumabe 50 mg sol inj ser preenc 0,5 ml simponi",0.86,86542,budesonida 50 mcg/dose spray nasal fr 6 ml ,0.27640035368037286,101465,"cetoconazol 20mg/g + neomicina 2,5mg/g + betametasona 0,5 mg/g pom derm bg 30g",0.9736453890800476,0.648009148552084,0.9736453890800476,0.27518321903573967,spacy,101465,"cetoconazol 20mg/g + neomicina 2,5mg/g + betametasona 0,5 mg/g pom derm bg 30g"
"CLORIDRATO DE FINGOLIMODE SOLIDO (0,5MG CAP)",CLORIDRATO DE FINGOLIMODE,1,['EMS'],111420,cloridrato de metformina+dapagliflozina (1000mg + 5mg),0.63,83664,cloreto de sodio 20% (200 mg/ml) sol inj amp 10 ml,0.61,92737,indicador de limpeza atp,0.86,86865,"hidroxizina, cloridrato de 2 mg/ml sol or fr 120 ml",0.2048866612131898,86742,"dutasterida 0,5 mg cap mole",0.9338721632957458,0.6477517649017871,0.9338721632957458,0.28494912557106755,spacy,86742,"dutasterida 0,5 mg cap mole"
LAMINA / LAMINULA DE VIDRO,PRODUTOS PARA SAUDE,3,['CRAL'],87687,seringa de vidro 10ml,0.62,87195,sorbitol + laurilsulfato de sodio (minilax),0.54,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,87687,seringa de vidro 10ml,0.3654608071807005,93006,escova de mamadeira,0.8528500199317932,0.6476621654224988,0.86,0.21165027491361108,fuzz_wratio,86959,mesilato de osimertinibe 80 mg com rev tagrisso
PEMETREXEDE INJETAVEL (100MG PO LIOF INJ IV 15ML),PEMETREXEDE DISSODICO HEMIPENTAIDRATADO,2,['GLENMARK'],83644,agua para injetaveis sol inj amp 10 ml,0.61,83644,agua para injetaveis sol inj amp 10 ml,0.61,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,83644,agua para injetaveis sol inj amp 10 ml,0.20029347829564498,86329,cetoprofeno 100 mg po liof iv fa,0.9538149237632751,0.6468216804117841,0.9538149237632751,0.2923135965823733,spacy,86329,cetoprofeno 100 mg po liof iv fa
"BORTEZOMIBE (3,5MG PO LIOF SOL INJ IV/SC FA)",BORTEZOMIBE,6,"['ACCORD', 'BERGAMO', 'CRISTALIA ONCO', 'DR REDDYS', 'EUROFARMA ONCO']",87102,parecoxibe sódico 40 mg po liof inj fa,0.72,86761,ertapenem sodico 1 g po liof inj fa,0.62,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,87071,oxacilina 500 mg po liof inj fa,0.18389822159749242,87156,remifentanila 2 mg po liof inj fa,0.8487791419029236,0.6465354727000832,0.86,0.27685917012922995,fuzz_wratio,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp"
